,year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
67,2021,52,หนองคาย,9,9,8,8,0,0,2023-06-19 12:07:27
68,2021,52,นราธิวาส,7,7,7,7,0,0,2023-06-19 12:07:27
69,2021,52,สมุทรปราการ,84,84,76,76,0,0,2023-06-19 12:07:27
70,2021,52,บึงกาฬ,7,7,7,7,0,0,2023-06-19 12:07:27
71,2021,52,มหาสารคาม,81,81,81,81,0,0,2023-06-19 12:07:27
72,2021,52,อ่างทอง,10,10,10,10,0,0,2023-06-19 12:07:27
73,2021,52,ร้อยเอ็ด,50,50,50,50,0,0,2023-06-19 12:07:27
74,2021,52,นครราชสีมา,37,37,37,37,2,2,2023-06-19 12:07:27
75,2021,52,กำแพงเพชร,7,7,7,7,0,0,2023-06-19 12:07:27
76,2021,52,ลพบุรี,16,16,16,16,0,0,2023-06-19 12:07:27
77,2021,52,ชัยภูมิ,15,15,15,15,0,0,2023-06-19 12:07:27
78,2021,52,ทั้งประเทศ,3011,3011,2869,2869,10,10,2023-06-19 12:07:27
79,2022,1,พะเยา,174,180,174,180,0,0,2023-06-19 12:07:27
80,2022,1,สมุทรสาคร,333,344,333,344,1,1,2023-06-19 12:07:27
81,2022,1,อุทัยธานี,130,132,130,132,1,1,2023-06-19 12:07:27
82,2022,1,อุบลราชธานี,2490,2744,2484,2738,3,3,2023-06-19 12:07:27
83,2022,1,ลำปาง,263,295,263,294,3,3,2023-06-19 12:07:27
84,2022,1,บุรีรัมย์,604,630,599,625,2,2,2023-06-19 12:07:27
85,2022,1,แม่ฮ่องสอน,106,123,106,123,2,2,2023-06-19 12:07:27
86,2022,1,นนทบุรี,924,966,924,965,0,0,2023-06-19 12:07:27
87,2022,1,เชียงราย,154,174,141,161,4,4,2023-06-19 12:07:27
88,2022,1,นครศรีธรรมราช,970,1131,969,1130,1,1,2023-06-19 12:07:27
89,2022,1,ยะลา,132,146,132,146,3,3,2023-06-19 12:07:27
90,2022,1,ระนอง,47,48,45,46,0,0,2023-06-19 12:07:27
91,2022,1,พัทลุง,396,446,396,446,1,1,2023-06-19 12:07:27
92,2022,1,นครนายก,93,107,93,107,0,0,2023-06-19 12:07:27
93,2022,1,สมุทรสงคราม,58,63,58,63,0,0,2023-06-19 12:07:27
94,2022,1,ราชบุรี,211,232,211,232,6,6,2023-06-19 12:07:27
95,2022,1,อำนาจเจริญ,106,127,105,126,0,0,2023-06-19 12:07:27
96,2022,1,อุตรดิตถ์,73,77,73,77,1,1,2023-06-19 12:07:27
97,2022,1,ทั้งประเทศ,34593,37604,33067,35936,105,115,2023-06-19 12:07:27
98,2022,1,ประจวบคีรีขันธ์,321,358,292,327,0,0,2023-06-19 12:07:27
99,2022,1,ภูเก็ต,1826,1928,1302,1366,0,0,2023-06-19 12:07:27
100,2022,1,จันทบุรี,196,211,195,210,0,0,2023-06-19 12:07:27
101,2022,1,สงขลา,384,435,384,435,4,4,2023-06-19 12:07:27
102,2022,1,กรุงเทพมหานคร,3329,3783,3106,3514,10,11,2023-06-19 12:07:27
103,2022,1,ชุมพร,242,259,242,259,0,0,2023-06-19 12:07:27
104,2022,1,อ่างทอง,48,58,48,58,0,0,2023-06-19 12:07:27
105,2022,1,เพชรบูรณ์,198,218,197,217,0,0,2023-06-19 12:07:27
106,2022,1,สระแก้ว,190,203,187,200,0,0,2023-06-19 12:07:27
107,2022,1,น่าน,182,200,182,200,0,0,2023-06-19 12:07:27
108,2022,1,พังงา,263,297,217,241,0,1,2023-06-19 12:07:27
109,2022,1,สุราษฎร์ธานี,532,575,396,434,2,3,2023-06-19 12:07:27
110,2022,1,ปัตตานี,167,182,166,181,5,5,2023-06-19 12:07:27
111,2022,1,ปราจีนบุรี,291,308,291,308,0,0,2023-06-19 12:07:27
112,2022,1,ยโสธร,170,180,169,179,0,0,2023-06-19 12:07:27
113,2022,1,สระบุรี,221,250,221,250,2,2,2023-06-19 12:07:27
114,2022,1,หนองคาย,216,225,216,224,0,0,2023-06-19 12:07:27
115,2022,1,ชลบุรี,5059,5367,4779,5068,1,1,2023-06-19 12:07:27
116,2022,1,สุโขทัย,69,71,68,70,1,1,2023-06-19 12:07:27
117,2022,1,นครราชสีมา,332,369,332,369,5,7,2023-06-19 12:07:27
118,2022,1,ลำพูน,56,65,55,64,0,0,2023-06-19 12:07:27
119,2022,1,กาฬสินธุ์,397,452,395,450,0,0,2023-06-19 12:07:27
120,2022,1,สกลนคร,201,208,199,206,0,0,2023-06-19 12:07:27
121,2022,1,อุดรธานี,769,847,763,841,0,0,2023-06-19 12:07:27
122,2022,1,ไม่ระบุ,0,0,0,0,0,0,2023-06-19 12:07:27
123,2022,1,มุกดาหาร,163,173,163,173,0,0,2023-06-19 12:07:27
124,2022,1,นครพนม,121,128,121,128,0,0,2023-06-19 12:07:27
125,2022,1,นครสวรรค์,292,318,292,318,4,5,2023-06-19 12:07:27
126,2022,1,กำแพงเพชร,120,127,119,126,0,0,2023-06-19 12:07:27
127,2022,1,แพร่,56,71,55,70,0,0,2023-06-19 12:07:27
128,2022,1,สตูล,137,151,129,143,5,6,2023-06-19 12:07:27
129,2022,1,ชัยนาท,106,109,106,109,0,0,2023-06-19 12:07:27
130,2022,1,ศรีสะเกษ,304,316,303,315,0,0,2023-06-19 12:07:27
131,2022,1,หนองบัวลำภู,96,99,96,99,0,0,2023-06-19 12:07:27
132,2022,1,สมุทรปราการ,2269,2353,2172,2248,1,1,2023-06-19 12:07:27
133,2022,1,บึงกาฬ,143,150,141,148,1,1,2023-06-19 12:07:27
134,2022,1,ตราด,220,224,195,198,0,0,2023-06-19 12:07:27
135,2022,1,เพชรบุรี,146,154,142,150,1,1,2023-06-19 12:07:27
136,2022,1,ตรัง,255,302,250,297,2,4,2023-06-19 12:07:27
137,2022,1,ขอนแก่น,1378,1477,1374,1473,4,4,2023-06-19 12:07:27
138,2022,1,ชัยภูมิ,248,263,247,262,1,1,2023-06-19 12:07:27
139,2022,1,พิษณุโลก,250,296,250,296,3,3,2023-06-19 12:07:27
140,2022,1,ปทุมธานี,292,337,289,334,0,0,2023-06-19 12:07:27
141,2022,1,ฉะเชิงเทรา,407,433,403,429,2,2,2023-06-19 12:07:27
142,2022,1,พระนครศรีอยุธยา,223,245,223,245,0,0,2023-06-19 12:07:27
143,2022,1,พิจิตร,62,64,62,64,0,0,2023-06-19 12:07:27
144,2022,1,กาญจนบุรี,217,245,217,244,2,2,2023-06-19 12:07:27
145,2022,1,ระยอง,694,753,684,743,1,1,2023-06-19 12:07:27
146,2022,1,มหาสารคาม,449,530,447,528,0,0,2023-06-19 12:07:27
147,2022,1,นราธิวาส,57,64,57,64,0,0,2023-06-19 12:07:27
148,2022,1,สิงห์บุรี,27,29,26,28,1,1,2023-06-19 12:07:27
149,2022,1,เลย,69,89,69,89,2,2,2023-06-19 12:07:27
150,2022,1,ลพบุรี,167,183,167,183,3,3,2023-06-19 12:07:27
151,2022,1,นครปฐม,209,227,209,227,0,0,2023-06-19 12:07:27
152,2022,1,ตาก,257,275,256,272,4,4,2023-06-19 12:07:27
153,2022,1,สุพรรณบุรี,113,115,109,111,1,1,2023-06-19 12:07:27
154,2022,1,ร้อยเอ็ด,329,379,328,378,0,0,2023-06-19 12:07:27
155,2022,1,สุรินทร์,146,156,137,147,0,0,2023-06-19 12:07:27
156,2022,1,กระบี่,226,261,182,213,2,3,2023-06-19 12:07:27
